name,doi,citation
rgbif,"10.1093/biosci/biw022","Amano, T., Lamming, J. D. L., & Sutherland, W. J. (2016). Spatial Gaps in Global Biodiversity Information and the Role of Citizen Science. BioScience, 66(5), 393–400. doi:10.1093/biosci/biw022"
taxize,"10.1017/s0960428615000256","Baden, H. M., Särkinen, T., Conde, D. A., Matthews, A. C., Vandrot, H., Chicas, S., … Harris, D. J. (2015). A BOTANICAL INVENTORY OF FOREST ON KARSTIC LIMESTONE AND METAMORPHIC SUBSTRATE IN THE CHIQUIBUL FOREST, BELIZE, WITH FOCUS ON WOODY TAXA. Edinburgh Journal of Botany, 73(01), 39–81. doi:10.1017/s0960428615000256"
Reol,"10.1002/ece3.1109","Banbury, B. L., & O’Meara, B. C. (2014). Reol: R interface to the Encyclopedia of Life. Ecology and Evolution, 4(12), 2577–2583. doi:10.1002/ece3.1109"
rgbif,"10.1111/ele.12170","Bartomeus, I., Park, M. G., Gibbs, J., Danforth, B. N., Lakso, A. N., & Winfree, R. (2013). Biodiversity ensures plant-pollinator phenological synchrony against climate change. Ecol Lett, 16(11), 1331–1338. doi:10.1111/ele.12170"
rgbif,"10.1016/j.ecoinf.2014.08.008","Barve, V. (2014). Discovering and developing primary biodiversity data from social networking sites: A novel approach. Ecological Informatics, 24, 194–199. doi:10.1016/j.ecoinf.2014.08.008"
taxize,"10.1016/j.ecoinf.2015.05.004","Vanden Berghe, E., Coro, G., Bailly, N., Fiorellato, F., Aldemita, C., Ellenbroek, A., & Pagano, P. (2015). Retrieving taxa names from large biodiversity data collections using a flexible matching workflow. Ecological Informatics, 28, 29–41. doi:10.1016/j.ecoinf.2015.05.004"
taxize,"10.1111/2041-210x.12327","Bocci, G. (2015). TR8: an R package for easily retrieving plant species traits. Methods in Ecology and Evolution, 6(3), 347–350. doi:10.1111/2041-210x.12327"
rgbif,"10.1111/nph.13572","Bone, R. E., Smith, J. A. C., Arrigo, N., & Buerki, S. (2015). A macro-ecological perspective on crassulacean acid metabolism (CAM) photosynthesis evolution in Afro-Madagascan drylands: Eulophiinae orchids as a case study. New Phytol, 208(2), 469–481. doi:10.1111/nph.13572"
rnoaa,"10.1016/j.cageo.2015.02.013","Bowman, D. C., & Lees, J. M. (2015). Near real time weather and ocean model data access with rNOMADS. Computers & Geosciences, 78, 88–95. doi:10.1016/j.cageo.2015.02.013"
taxize,"10.1007/s10530-015-0970-8","Bradie, J., Pietrobon, A., & Leung, B. (2015). Beyond species-specific assessments: an analysis and validation of environmental distance metrics for non-indigenous species risk assessment. Biological Invasions, 17(12), 3455–3465. doi:10.1007/s10530-015-0970-8"
rgbif,"10.3897/bdj.3.e4162","Collins, R., Duarte Ribeiro, E., Nogueira Machado, V., Hrbek, T., & Farias, I. (2015). A preliminary inventory of the catfishes of the lower Rio Nhamundá, Brazil (Ostariophysi, Siluriformes). Biodiversity Data Journal, 3, e4162. doi:10.3897/bdj.3.e4162"
helminthR,"10.1038/srep13185","Dallas, T., & Cornelius, E. (2015). Co-extinction in a host-parasite network: identifying key hosts for network stability. Scientific Reports, 5, 13185. doi:10.1038/srep13185"
taxize,"10.1111/ddi.12351","Dodd, A. J., Burgman, M. A., McCarthy, M. A., & Ainsworth, N. (2015). The changing patterns of plant naturalization in Australia. Diversity Distrib., 21(9), 1038–1050. doi:10.1111/ddi.12351"
rgbif,"10.2478/cszma-2013-0004","Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea (A), 62(1). doi:10.2478/cszma-2013-0004"
rdryad,"10.2478/cszma-2013-0004","Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea (A), 62(1). doi:10.2478/cszma-2013-0004"
rfisheries,"10.2478/cszma-2013-0004","Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea (A), 62(1). doi:10.2478/cszma-2013-0004"
RMendeley,"10.2478/cszma-2013-0004","Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea (A), 62(1). doi:10.2478/cszma-2013-0004"
treeBASE,"10.2478/cszma-2013-0004","Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea (A), 62(1). doi:10.2478/cszma-2013-0004"
rfishbase,"10.2478/cszma-2013-0004","Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea (A), 62(1). doi:10.2478/cszma-2013-0004"
taxize,"10.2478/cszma-2013-0004","Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea (A), 62(1). doi:10.2478/cszma-2013-0004"
rsnsps,"10.2478/cszma-2013-0004","Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea (A), 62(1). doi:10.2478/cszma-2013-0004"
rvertnet,"10.2478/cszma-2013-0004","Drozd, P., & Šipoš, J. (2013). R for all (I): Introduction to the new age of biological analyses. Casopis Slezskeho Zemskeho Muzea (A), 62(1). doi:10.2478/cszma-2013-0004"
